OrderID,Is Business Order?,Purchase Date,SKU,Sell Qty,LineItem Total,Marketplace Fee,Fulfillment Fee
113-0384838-2461060,False,2024-10-31 22:51:08,ZH-B3K5-2R3T,1,43.99,-6.59,-3.29
111-9016154-5338669,False,2024-10-31 22:09:07,CP-68EC-0MKQ,2,111.98,-16.79,-8.39
114-6270856-1187404,False,2024-10-31 22:04:39,38-FLD0-OIPP,1,92.99,-13.94,-6.97
114-1672659-6479452,False,2024-10-31 21:14:48,QQ-DJOO-UPTP-stickerless,1,87.99,-13.19,-6.59
113-5745199-6713846,False,2024-10-31 21:02:38,SQ-1HQY-ZYNE,1,135.99,-20.39,-10.19
114-4310121-0634657,False,2024-10-31 20:26:46,US-7UCD-E5GJ,1,141.99,-21.29,-10.64
111-6617816-3281810,False,2024-10-31 20:06:29,4I-IIKX-57TL,1,57.99,-8.69,-4.34
111-6791620-0411419,False,2024-10-31 20:00:10,A5-AH5O-LY66,1,103.99,-15.59,-7.79
113-8924170-4910617,False,2024-10-31 19:21:12,4L-37DL-41Q0,3,449.97,-67.49,-33.74
113-8171633-0700244,False,2024-10-31 19:21:12,B2-AHSB-VI7Q,1,158.99,-23.84,-11.92
114-4710262-4449865,False,2024-10-31 18:22:03,EE-2T9O-0SJ2,1,189.99,-28.49,-14.24
114-7252288-2144231,False,2024-10-31 18:14:06,SL-QBLR-ZHBC,1,58.99,-8.84,-4.42
112-7374092-9277047,False,2024-10-31 17:59:50,38-FLD0-OIPP,1,92.99,-13.94,-6.97
113-4922563-7493029,True,2024-10-31 17:34:18,EE-2T9O-0SJ2,1,186.99,-28.04,-14.02
113-1707921-6097822,True,2024-10-31 17:31:17,OD-KC1Y-XBET,2,151.98,-22.79,-11.39
114-2437642-8544228,False,2024-10-31 17:14:03,Y7-X8FO-PWPJ,1,58.99,-8.84,-4.42
113-5028284-5985823,False,2024-10-31 17:13:42,QQ-DJOO-UPTP-stickerless,1,87.99,-13.19,-6.59
